token,count
alabama,14
alaska,20
arizona,106
arkansas,9
california,8386
colorado,27
connecticut,44
delaware,3
florida,54
georgia,20
hawaii,4
idaho,61
illinois,46
indiana,7
iowa,73
kansas,13
kentucky,10
louisiana,10
maine,42
maryland,16
massachusetts,30
michigan,24
minnesota,6
carolina,35
dakota,10
hampshire,8
jersey,47
mexico,63
mississippi,5
missouri,16
montana,18
nebraska,20
nevada,145
ohio,37
oklahoma,16
oregon,101
pennsylvania,84
rhode,5
tennessee,18
texas,356
utah,34
vermont,5
virginia,54
washington,677
wisconsin,78
wyoming,17
york,571
